t,V,current_A,omega_rad_s,energy_J
2.262828535669587,0.0,-0.07861331903358909,3.1482815306620817,0.05110339646390911
2.267834793491865,0.0,-0.09307753842788609,2.9735558322828095,0.04637602847846422
2.272841051314143,0.0,-0.10654005291481185,2.803953887929223,0.04214848274693977
2.2778473091364204,0.0,-0.119036340372356,2.639465737934255,0.03837630949095495
2.2828535669586985,0.0,-0.13060145537481024,2.48007329704037,0.035018002829968094
2.2878598247809765,0.0,-0.1412699941903516,2.325750858898568,0.032034888102972635
2.292866082603254,0.0,-0.1510760625994864,2.1764655841306557,0.02939100636716696
2.297872340425532,0.0,-0.16005324642467963,2.032177972082246,0.02705299697385136
2.3028785982478097,0.0,-0.16823458466327895,1.892842316414261,0.024989979043249018
2.3078848560700878,0.0,-0.1756525451177258,1.758407144699151,0.023173432584228777
2.3128911138923653,0.0,-0.18233900241893236,1.6288156422063222,0.02157707993226283
2.3178973717146434,0.0,-0.18832521834074384,1.5040060600766223,0.02017676810950823
2.3229036295369214,0.0,-0.1936418243054142,1.3839121081014276,0.018950352644830915
2.327909887359199,0.0,-0.19831880598216278,1.2684633323348709,0.017877583328938105
2.332916145181477,0.0,-0.20238548988300195,1.1575854777806405,0.01693999232063884
2.3379224030037546,0.0,-0.20587053186221657,1.0512008364061067,0.016120784964612472
2.3429286608260327,0.0,-0.20880190742810376,0.9492285807464249,0.015404733628932965
2.3479349186483103,0.0,-0.21120690377780488,0.8515850833710356,0.014778074821952
2.3529411764705883,0.0,-0.2131121134683464,0.7581842224925748,0.01422840980291969
2.3579474342928664,0.0,-0.2145434296392686,0.6689376740060459,0.013744608858868043
2.362953692115144,0.0,-0.21552604270452608,0.5837551902519337,0.013316719381698656
2.367959949937422,0.0,-0.21608443843363334,0.5025448658027325,0.012935877844018102
2.3729662077596996,0.0,-0.21624239734433112,0.4252133905769662,0.012594225739935693
2.3779724655819776,0.0,-0.21602299533134986,0.35166629058838383,0.012284829527663068
2.382978723404255,0.0,-0.2154486054581357,0.28180815664152054,0.012001604584212315
2.3879849812265332,0.0,-0.21454090084069044,0.21554286128676417,0.011739243158642169
2.3929912390488113,0.0,-0.21332085855494748,0.15277376435021195,0.011493146289023648
2.397997496871089,0.0,-0.21180876450136035,0.09340390735431836,0.011259359629443452
2.403003754693367,0.0,-0.21002421916261788,0.03733619714604941,0.01103451311680348
2.4080100125156445,0.0,-0.2079861441926173,-0.015526420950853327,0.010815764392765763
2.4130162703379225,0.0,-0.2057127897770132,-0.06528080014368658,0.010600745883797408
2.4180225281602,0.0,-0.20322174270783414,-0.11202343902370535,0.010387515431755773
2.423028785982478,0.0,-0.20052993511678519,-0.15585033795107414,0.01017451035868284
2.428035043804756,0.0,-0.1976536538139738,-0.1968568646605176,0.009960504842323395
2.433041301627034,0.0,-0.1946085501808595,-0.2351376287790293,0.009744570473213152
2.438047559449312,0.0,-0.19140965056827625,-0.27078636494966846,0.009526039859880679
