hour,strategy,signal,soc_pct,cum_shortfall
42,Naive,66.43700222338177,95.0,55.55352962384521
43,Naive,80.48729751829659,94.99999999647095,55.55352962384521
44,Naive,81.66237014251612,16.834108356351162,55.55352962384521
45,Naive,53.210297539276795,16.83410835950084,55.55352962384521
46,Naive,54.27699277271663,16.834108358258142,55.55352962384521
47,Naive,46.86997400454554,23.729410102982406,55.55352962384521
0,Degradation-aware,40.13474507980052,18.99631830949392,0.0
1,Degradation-aware,36.76735478574563,18.996318332265343,0.0
2,Degradation-aware,31.12657091661838,18.996318415025165,0.0
3,Degradation-aware,28.222560715988646,95.0,0.23513767699722
4,Degradation-aware,32.281128396066784,95.0,0.4702753636106518
5,Degradation-aware,38.1895908478245,95.0,0.705413051982358
6,Degradation-aware,53.220484522363144,95.0,0.9405507401348094
7,Degradation-aware,71.00807009146173,16.834108415202724,0.9405507401348094
8,Degradation-aware,66.61054074696216,16.834108405337904,0.9405507401348094
9,Degradation-aware,62.71952870071457,16.834108411322145,0.9405507401348094
10,Degradation-aware,60.06775109905222,16.834108406986577,0.9405507401348094
11,Degradation-aware,52.017235523370225,16.83410842386866,0.9405507401348094
12,Degradation-aware,47.13257779408308,16.834108483213637,0.9405507401348094
13,Degradation-aware,42.033193375007386,95.0,1.0472462123476545
14,Degradation-aware,45.19178946034574,95.0,1.282383522244337
15,Degradation-aware,49.016620207262925,95.0,1.282383522556528
16,Degradation-aware,45.32465669468112,95.0,1.5175212094714219
17,Degradation-aware,58.503393978817904,95.0,1.7526588962994802
18,Degradation-aware,62.45272504770679,95.0,1.752658896698044
19,Degradation-aware,71.74695850449443,16.83410836481989,1.752658896698044
20,Degradation-aware,62.80325190199213,16.834108367086838,1.752658896698044
21,Degradation-aware,59.584412559931245,16.83410836551183,1.752658896698044
22,Degradation-aware,45.63603277062193,16.834108373781582,1.752658896698044
23,Degradation-aware,47.434189363754726,16.83410837183213,1.752658896698044
24,Degradation-aware,40.63403938401401,16.834108372017965,1.752658896698044
25,Degradation-aware,35.37213683430314,16.83410837443798,1.752658896698044
26,Degradation-aware,25.41694263868976,95.0,1.8593543638610255
27,Degradation-aware,29.07802975835924,95.0,2.094492052286032
28,Degradation-aware,33.36965163311582,95.0,2.3296297409077953
29,Degradation-aware,41.856301313181156,95.0,2.564767429302104
30,Degradation-aware,46.48207123870868,95.0,2.79990511814126
31,Degradation-aware,61.68087149558091,94.99999999776874,2.79990511814126
32,Degradation-aware,63.912830912866994,16.834108950410855,2.79990511814126
33,Degradation-aware,61.725044740673795,16.834108984087997,2.79990511814126
34,Degradation-aware,62.708436333713635,16.8341086447949,2.79990511814126
35,Degradation-aware,47.30614201214331,16.83410868234228,2.79990511814126
36,Degradation-aware,46.616825042811456,16.8341087687385,2.79990511814126
37,Degradation-aware,48.62674217731717,16.834108840310076,2.79990511814126
38,Degradation-aware,43.182927976915586,95.0,2.9066006128025252
39,Degradation-aware,46.018836521060926,95.0,3.1417383013653053
40,Degradation-aware,51.234846750684895,95.0,3.376875989998557
41,Degradation-aware,61.03640777589296,95.0,3.612013677861569
42,Degradation-aware,66.43700222338177,95.0,3.8471513661220724
43,Degradation-aware,80.48729751829659,94.9999999717891,3.8471513661220724
44,Degradation-aware,81.66237014251612,16.8341083590416,3.8471513661220724
45,Degradation-aware,53.210297539276795,16.83410835988227,3.8471513661220724
46,Degradation-aware,54.27699277271663,16.83410835995014,3.8471513661220724
47,Degradation-aware,46.86997400454554,21.235477120456746,3.8471513661220724
0,Robust (calibrated UQ),40.13474507980052,16.834108360198005,0.0
1,Robust (calibrated UQ),36.76735478574563,16.83410836016369,0.0
2,Robust (calibrated UQ),31.12657091661838,16.834108360722535,0.0
3,Robust (calibrated UQ),28.222560715988646,92.61732297407548,0.0
4,Robust (calibrated UQ),32.281128396066784,92.61732296302759,0.0
5,Robust (calibrated UQ),38.1895908478245,92.61732296828049,0.0
6,Robust (calibrated UQ),53.220484522363144,92.61732297123886,0.0
7,Robust (calibrated UQ),71.00807009146173,16.834108356339094,0.0
8,Robust (calibrated UQ),66.61054074696216,16.834108357705333,0.0
9,Robust (calibrated UQ),62.71952870071457,16.83410835900412,0.0
10,Robust (calibrated UQ),60.06775109905222,16.834108360867358,0.0
11,Robust (calibrated UQ),52.017235523370225,16.83410837245789,0.0
12,Robust (calibrated UQ),47.13257779408308,16.834108372678187,0.0
13,Robust (calibrated UQ),42.033193375007386,92.61732296674994,0.0
14,Robust (calibrated UQ),45.19178946034574,92.61732288818807,0.0
15,Robust (calibrated UQ),49.016620207262925,92.61732288233169,0.0
16,Robust (calibrated UQ),45.32465669468112,92.61732291103247,0.0
17,Robust (calibrated UQ),58.503393978817904,92.6173229145269,0.0
18,Robust (calibrated UQ),62.45272504770679,92.61732292034156,0.0
19,Robust (calibrated UQ),71.74695850449443,16.83410835617597,6.745146663433843e-10
20,Robust (calibrated UQ),62.80325190199213,16.834108368368074,6.745146663433843e-10
21,Robust (calibrated UQ),59.584412559931245,16.83410836866276,6.745146663433843e-10
22,Robust (calibrated UQ),45.63603277062193,16.834108382157893,6.745146663433843e-10
23,Robust (calibrated UQ),47.434189363754726,16.834108379394845,6.745146663433843e-10
24,Robust (calibrated UQ),40.63403938401401,16.83410837909439,6.745146663433843e-10
25,Robust (calibrated UQ),35.37213683430314,16.834108374482216,6.745146663433843e-10
26,Robust (calibrated UQ),25.41694263868976,92.61732297867805,6.745146663433843e-10
27,Robust (calibrated UQ),29.07802975835924,92.6173229729214,6.745146663433843e-10
28,Robust (calibrated UQ),33.36965163311582,92.6173229701922,6.745146663433843e-10
29,Robust (calibrated UQ),41.856301313181156,92.61732296526127,6.745146663433843e-10
30,Robust (calibrated UQ),46.48207123870868,92.61732296749679,6.745146663433843e-10
31,Robust (calibrated UQ),61.68087149558091,92.61732296418067,6.745146663433843e-10
32,Robust (calibrated UQ),63.912830912866994,16.83410838666264,6.745146663433843e-10
33,Robust (calibrated UQ),61.725044740673795,16.834108388653448,6.745146663433843e-10
34,Robust (calibrated UQ),62.708436333713635,16.834108379877748,6.745146663433843e-10
35,Robust (calibrated UQ),47.30614201214331,16.83410838029462,6.745146663433843e-10
36,Robust (calibrated UQ),46.616825042811456,16.834108386202907,6.745146663433843e-10
37,Robust (calibrated UQ),48.62674217731717,16.834108386982013,6.745146663433843e-10
38,Robust (calibrated UQ),43.182927976915586,92.61732298290516,6.745146663433843e-10
39,Robust (calibrated UQ),46.018836521060926,92.61732298128021,6.745146663433843e-10
40,Robust (calibrated UQ),51.234846750684895,92.61732298071563,6.745146663433843e-10
41,Robust (calibrated UQ),61.03640777589296,92.61732297876986,6.745146663433843e-10
42,Robust (calibrated UQ),66.43700222338177,92.61732297675344,6.745146663433843e-10
43,Robust (calibrated UQ),80.48729751829659,92.6173228811783,6.745146663433843e-10
44,Robust (calibrated UQ),81.66237014251612,16.83410835617597,3.4748390831396136e-09
45,Robust (calibrated UQ),53.210297539276795,16.834108356633536,3.4748390831396136e-09
46,Robust (calibrated UQ),54.27699277271663,16.83410835683189,3.4748390831396136e-09
47,Robust (calibrated UQ),46.86997400454554,20.88564313289192,3.4748390831396136e-09
